customer_id,plan,signup_date,past_ticket_count
CUST-101,Pro,2025-09-12,2
CUST-102,Pro,2025-11-04,0
CUST-103,Pro,2026-01-15,1
CUST-104,Team,2025-06-20,4
CUST-105,Free,2026-02-01,0
CUST-106,Pro,2026-08-20,0
CUST-107,Team,2025-08-10,3
CUST-108,Team,2025-10-05,1
CUST-109,Pro,2026-06-25,0
CUST-110,Team,2024-12-01,8
CUST-111,Pro,2025-07-18,2
CUST-112,Pro,2026-01-08,1
CUST-113,Team,2025-03-14,5
CUST-114,Team,2025-05-22,6
CUST-115,Free,2026-02-14,0
CUST-116,Team,2026-02-05,1
CUST-117,Pro,2025-08-30,2
CUST-118,Free,2026-02-10,0
